"Kod";"Nazwa";"ogółem;2019;[%]";
0201000;"Powiat bolesławiecki";3,8;
0202000;"Powiat dzierżoniowski";5,1;
0203000;"Powiat głogowski";7,0;
0204000;"Powiat górowski";14,1;
0205000;"Powiat jaworski";10,8;
0206000;"Powiat jeleniogórski";8,1;
0207000;"Powiat kamiennogórski";5,8;
0208000;"Powiat kłodzki";10,9;
0209000;"Powiat legnicki";8,7;
0210000;"Powiat lubański";6,9;
0211000;"Powiat lubiński";4,0;
0212000;"Powiat lwówecki";10,9;
0213000;"Powiat milicki";6,4;
0214000;"Powiat oleśnicki";5,2;
0215000;"Powiat oławski";4,3;
0216000;"Powiat polkowicki";4,3;
0217000;"Powiat strzeliński";9,6;
0218000;"Powiat średzki";5,0;
0219000;"Powiat świdnicki";5,6;
0220000;"Powiat trzebnicki";5,1;
0221000;"Powiat wałbrzyski";12,3;
0222000;"Powiat wołowski";10,6;
0223000;"Powiat wrocławski";1,6;
0224000;"Powiat ząbkowicki";9,3;
0225000;"Powiat zgorzelecki";4,8;
0226000;"Powiat złotoryjski";13,2;
0261000;"Powiat m.Jelenia Góra";3,2;
0262000;"Powiat m.Legnica";4,1;
0264000;"Powiat m.Wrocław";1,6;
0265000;"Powiat m.Wałbrzych od 2013";4,7;
0401000;"Powiat aleksandrowski";12,2;
0402000;"Powiat brodnicki";7,0;
0403000;"Powiat bydgoski";4,1;
0404000;"Powiat chełmiński";11,5;
0405000;"Powiat golubsko-dobrzyński";9,9;
0406000;"Powiat grudziądzki";11,1;
0407000;"Powiat inowrocławski";10,9;
0408000;"Powiat lipnowski";15,4;
0409000;"Powiat mogileński";9,7;
0410000;"Powiat nakielski";10,5;
0411000;"Powiat radziejowski";16,4;
0412000;"Powiat rypiński";10,0;
0413000;"Powiat sępoleński";11,6;
0414000;"Powiat świecki";6,9;
0415000;"Powiat toruński";9,4;
0416000;"Powiat tucholski";9,7;
0417000;"Powiat wąbrzeski";11,4;
0418000;"Powiat włocławski";14,2;
0419000;"Powiat żniński";9,3;
0461000;"Powiat m.Bydgoszcz";2,8;
0462000;"Powiat m.Grudziądz";8,2;
0463000;"Powiat m.Toruń";4,1;
0464000;"Powiat m.Włocławek";9,0;
0601000;"Powiat bialski";9,4;
0602000;"Powiat biłgorajski";5,0;
0603000;"Powiat chełmski";11,9;
0604000;"Powiat hrubieszowski";13,2;
0605000;"Powiat janowski";8,6;
0606000;"Powiat krasnostawski";10,9;
0607000;"Powiat kraśnicki";10,1;
0608000;"Powiat lubartowski";10,3;
0609000;"Powiat lubelski";5,7;
0610000;"Powiat łęczyński";5,2;
0611000;"Powiat łukowski";4,2;
0612000;"Powiat opolski";8,2;
0613000;"Powiat parczewski";6,6;
0614000;"Powiat puławski";5,1;
0615000;"Powiat radzyński";5,8;
0616000;"Powiat rycki";7,0;
0617000;"Powiat świdnicki";8,4;
0618000;"Powiat tomaszowski";7,0;
0619000;"Powiat włodawski";15,0;
0620000;"Powiat zamojski";8,2;
0661000;"Powiat m.Biała Podlaska";9,8;
0662000;"Powiat m.Chełm";10,7;
0663000;"Powiat m.Lublin";4,9;
0664000;"Powiat m.Zamość";8,7;
0801000;"Powiat gorzowski";3,6;
0802000;"Powiat krośnieński";8,0;
0803000;"Powiat międzyrzecki";9,4;
0804000;"Powiat nowosolski";6,1;
0805000;"Powiat słubicki";2,4;
0806000;"Powiat strzelecko-drezdenecki";9,8;
0807000;"Powiat sulęciński";5,7;
0808000;"Powiat świebodziński";3,5;
0809000;"Powiat zielonogórski";5,7;
0810000;"Powiat żagański";8,6;
0811000;"Powiat żarski";5,2;
0812000;"Powiat wschowski";7,7;
0861000;"Powiat m.Gorzów Wielkopolski";2,2;
0862000;"Powiat m.Zielona Góra";2,4;
1001000;"Powiat bełchatowski";4,8;
1002000;"Powiat kutnowski";8,0;
1003000;"Powiat łaski";7,1;
1004000;"Powiat łęczycki";6,6;
1005000;"Powiat łowicki";4,6;
1006000;"Powiat łódzki wschodni";6,2;
1007000;"Powiat opoczyński";5,8;
1008000;"Powiat pabianicki";6,2;
1009000;"Powiat pajęczański";7,0;
1010000;"Powiat piotrkowski";4,8;
1011000;"Powiat poddębicki";6,2;
1012000;"Powiat radomszczański";5,3;
1013000;"Powiat rawski";3,2;
1014000;"Powiat sieradzki";5,5;
1015000;"Powiat skierniewicki";3,6;
1016000;"Powiat tomaszowski";6,7;
1017000;"Powiat wieluński";5,8;
1018000;"Powiat wieruszowski";4,0;
1019000;"Powiat zduńskowolski";6,0;
1020000;"Powiat zgierski";5,7;
1021000;"Powiat brzeziński";6,8;
1061000;"Powiat m.Łódź";4,7;
1062000;"Powiat m.Piotrków Trybunalski";4,9;
1063000;"Powiat m.Skierniewice";5,1;
1201000;"Powiat bocheński";2,6;
1202000;"Powiat brzeski";4,7;
1203000;"Powiat chrzanowski";6,4;
1204000;"Powiat dąbrowski";10,0;
1205000;"Powiat gorlicki";4,6;
1206000;"Powiat krakowski";3,7;
1207000;"Powiat limanowski";6,8;
1208000;"Powiat miechowski";3,8;
1209000;"Powiat myślenicki";2,4;
1210000;"Powiat nowosądecki";7,8;
1211000;"Powiat nowotarski";5,4;
1212000;"Powiat olkuski";6,9;
1213000;"Powiat oświęcimski";5,1;
1214000;"Powiat proszowicki";4,4;
1215000;"Powiat suski";4,7;
1216000;"Powiat tarnowski";5,7;
1217000;"Powiat tatrzański";8,0;
1218000;"Powiat wadowicki";4,9;
1219000;"Powiat wielicki";4,1;
1261000;"Powiat m.Kraków";2,0;
1262000;"Powiat m.Nowy Sącz";2,7;
1263000;"Powiat m.Tarnów";4,2;
1401000;"Powiat białobrzeski";7,4;
1402000;"Powiat ciechanowski";8,9;
1403000;"Powiat garwoliński";8,4;
1404000;"Powiat gostyniński";11,9;
1405000;"Powiat grodziski";2,3;
1406000;"Powiat grójecki";2,0;
1407000;"Powiat kozienicki";9,8;
1408000;"Powiat legionowski";6,5;
1409000;"Powiat lipski";9,8;
1410000;"Powiat łosicki";4,2;
1411000;"Powiat makowski";15,4;
1412000;"Powiat miński";4,9;
1413000;"Powiat mławski";5,8;
1414000;"Powiat nowodworski";5,7;
1415000;"Powiat ostrołęcki";9,2;
1416000;"Powiat ostrowski";8,1;
1417000;"Powiat otwocki";3,7;
1418000;"Powiat piaseczyński";3,1;
1419000;"Powiat płocki";10,2;
1420000;"Powiat płoński";9,1;
1421000;"Powiat pruszkowski";2,7;
1422000;"Powiat przasnyski";8,4;
1423000;"Powiat przysuski";17,7;
1424000;"Powiat pułtuski";12,0;
1425000;"Powiat radomski";16,4;
1426000;"Powiat siedlecki";4,3;
1427000;"Powiat sierpecki";15,0;
1428000;"Powiat sochaczewski";4,6;
1429000;"Powiat sokołowski";5,4;
1430000;"Powiat szydłowiecki";23,0;
1432000;"Powiat warszawski zachodni";1,6;
1433000;"Powiat węgrowski";5,6;
1434000;"Powiat wołomiński";6,5;
1435000;"Powiat wyszkowski";3,3;
1436000;"Powiat zwoleński";9,8;
1437000;"Powiat żuromiński";14,4;
1438000;"Powiat żyrardowski";9,6;
1461000;"Powiat m.Ostrołęka";8,2;
1462000;"Powiat m.Płock";6,1;
1463000;"Powiat m.Radom";11,1;
1464000;"Powiat m.Siedlce";3,9;
1465000;"Powiat m. st. Warszawa";1,3;
1601000;"Powiat brzeski";7,7;
1602000;"Powiat głubczycki";8,9;
1603000;"Powiat kędzierzyńsko-kozielski";7,3;
1604000;"Powiat kluczborski";7,1;
1605000;"Powiat krapkowicki";5,4;
1606000;"Powiat namysłowski";8,0;
1607000;"Powiat nyski";7,2;
1608000;"Powiat oleski";4,0;
1609000;"Powiat opolski";5,5;
1610000;"Powiat prudnicki";8,9;
1611000;"Powiat strzelecki";5,1;
1661000;"Powiat m.Opole";2,7;
1801000;"Powiat bieszczadzki";13,5;
1802000;"Powiat brzozowski";15,0;
1803000;"Powiat dębicki";4,5;
1804000;"Powiat jarosławski";9,8;
1805000;"Powiat jasielski";9,3;
1806000;"Powiat kolbuszowski";7,5;
1807000;"Powiat krośnieński";5,1;
1808000;"Powiat leżajski";12,5;
1809000;"Powiat lubaczowski";8,3;
1810000;"Powiat łańcucki";9,6;
1811000;"Powiat mielecki";4,3;
1812000;"Powiat niżański";15,7;
1813000;"Powiat przemyski";12,5;
1814000;"Powiat przeworski";11,7;
1815000;"Powiat ropczycko-sędziszowski";10,2;
1816000;"Powiat rzeszowski";7,8;
1817000;"Powiat sanocki";6,5;
1818000;"Powiat stalowowolski";4,7;
1819000;"Powiat strzyżowski";13,0;
1820000;"Powiat tarnobrzeski";6,3;
1821000;"Powiat leski";15,8;
1861000;"Powiat m.Krosno";2,3;
1862000;"Powiat m.Przemyśl";10,3;
1863000;"Powiat m.Rzeszów";4,8;
1864000;"Powiat m.Tarnobrzeg";7,4;
2001000;"Powiat augustowski";9,7;
2002000;"Powiat białostocki";7,7;
2003000;"Powiat bielski";4,7;
2004000;"Powiat grajewski";11,9;
2005000;"Powiat hajnowski";6,7;
2006000;"Powiat kolneński";13,9;
2007000;"Powiat łomżyński";6,1;
2008000;"Powiat moniecki";6,7;
2009000;"Powiat sejneński";12,3;
2010000;"Powiat siemiatycki";6,2;
2011000;"Powiat sokólski";10,0;
2012000;"Powiat suwalski";3,9;
2013000;"Powiat wysokomazowiecki";5,6;
2014000;"Powiat zambrowski";6,3;
2061000;"Powiat m.Białystok";5,4;
2062000;"Powiat m.Łomża";7,5;
2063000;"Powiat m.Suwałki";4,8;
2201000;"Powiat bytowski";9,1;
2202000;"Powiat chojnicki";7,8;
2203000;"Powiat człuchowski";9,3;
2204000;"Powiat gdański";3,8;
2205000;"Powiat kartuski";2,5;
2206000;"Powiat kościerski";6,2;
2207000;"Powiat kwidzyński";5,5;
2208000;"Powiat lęborski";8,8;
2209000;"Powiat malborski";9,9;
2210000;"Powiat nowodworski";11,5;
2211000;"Powiat pucki";6,6;
2212000;"Powiat słupski";6,3;
2213000;"Powiat starogardzki";5,3;
2214000;"Powiat tczewski";5,7;
2215000;"Powiat wejherowski";5,5;
2216000;"Powiat sztumski";8,4;
2261000;"Powiat m.Gdańsk";2,3;
2262000;"Powiat m.Gdynia";2,1;
2263000;"Powiat m.Słupsk";3,3;
2264000;"Powiat m.Sopot";1,4;
2401000;"Powiat będziński";5,3;
2402000;"Powiat bielski";2,8;
2403000;"Powiat cieszyński";4,3;
2404000;"Powiat częstochowski";6,2;
2405000;"Powiat gliwicki";3,6;
2406000;"Powiat kłobucki";6,4;
2407000;"Powiat lubliniecki";5,0;
2408000;"Powiat mikołowski";2,7;
2409000;"Powiat myszkowski";5,4;
2410000;"Powiat pszczyński";2,6;
2411000;"Powiat raciborski";4,0;
2412000;"Powiat rybnicki";4,7;
2413000;"Powiat tarnogórski";4,6;
2414000;"Powiat bieruńsko-lędziński";1,7;
2415000;"Powiat wodzisławski";4,8;
2416000;"Powiat zawierciański";5,8;
2417000;"Powiat żywiecki";6,2;
2461000;"Powiat m.Bielsko-Biała";1,7;
2462000;"Powiat m.Bytom";8,3;
2463000;"Powiat m.Chorzów";3,3;
2464000;"Powiat m.Częstochowa";2,9;
2465000;"Powiat m.Dąbrowa Górnicza";3,7;
2466000;"Powiat m.Gliwice";2,3;
2467000;"Powiat m.Jastrzębie-Zdrój";4,2;
2468000;"Powiat m.Jaworzno";3,8;
2469000;"Powiat m.Katowice";1,0;
2470000;"Powiat m.Mysłowice";4,7;
2471000;"Powiat m.Piekary Śląskie";5,9;
2472000;"Powiat m.Ruda Śląska";2,6;
2473000;"Powiat m.Rybnik";3,0;
2474000;"Powiat m.Siemianowice Śląskie";4,1;
2475000;"Powiat m.Sosnowiec";5,1;
2476000;"Powiat m.Świętochłowice";5,6;
2477000;"Powiat m.Tychy";2,0;
2478000;"Powiat m.Zabrze";4,8;
2479000;"Powiat m.Żory";3,3;
2601000;"Powiat buski";3,6;
2602000;"Powiat jędrzejowski";6,9;
2603000;"Powiat kazimierski";6,7;
2604000;"Powiat kielecki";10,4;
2605000;"Powiat konecki";10,9;
2606000;"Powiat opatowski";13,6;
2607000;"Powiat ostrowiecki";10,6;
2608000;"Powiat pińczowski";6,3;
2609000;"Powiat sandomierski";6,9;
2610000;"Powiat skarżyski";14,5;
2611000;"Powiat starachowicki";8,1;
2612000;"Powiat staszowski";6,7;
2613000;"Powiat włoszczowski";6,9;
2661000;"Powiat m.Kielce";4,8;
2801000;"Powiat bartoszycki";16,9;
2802000;"Powiat braniewski";19,2;
2803000;"Powiat działdowski";13,6;
2804000;"Powiat elbląski";13,4;
2805000;"Powiat ełcki";11,2;
2806000;"Powiat giżycki";8,9;
2807000;"Powiat iławski";4,4;
2808000;"Powiat kętrzyński";17,7;
2809000;"Powiat lidzbarski";12,8;
2810000;"Powiat mrągowski";9,9;
2811000;"Powiat nidzicki";7,0;
2812000;"Powiat nowomiejski";7,6;
2813000;"Powiat olecki";9,8;
2814000;"Powiat olsztyński";8,8;
2815000;"Powiat ostródzki";9,8;
2816000;"Powiat piski";12,2;
2817000;"Powiat szczycieński";8,7;
2818000;"Powiat gołdapski";9,5;
2819000;"Powiat węgorzewski";15,1;
2861000;"Powiat m.Elbląg";5,7;
2862000;"Powiat m.Olsztyn";2,7;
3001000;"Powiat chodzieski";7,0;
3002000;"Powiat czarnkowsko-trzcianecki";4,3;
3003000;"Powiat gnieźnieński";3,5;
3004000;"Powiat gostyński";4,9;
3005000;"Powiat grodziski";3,2;
3006000;"Powiat jarociński";3,7;
3007000;"Powiat kaliski";2,1;
3008000;"Powiat kępiński";1,6;
3009000;"Powiat kolski";4,0;
3010000;"Powiat koniński";8,5;
3011000;"Powiat kościański";2,7;
3012000;"Powiat krotoszyński";2,9;
3013000;"Powiat leszczyński";2,5;
3014000;"Powiat międzychodzki";4,3;
3015000;"Powiat nowotomyski";2,0;
3016000;"Powiat obornicki";2,7;
3017000;"Powiat ostrowski";2,6;
3018000;"Powiat ostrzeszowski";4,0;
3019000;"Powiat pilski";4,3;
3020000;"Powiat pleszewski";3,9;
3021000;"Powiat poznański";1,1;
3022000;"Powiat rawicki";3,8;
3023000;"Powiat słupecki";6,8;
3024000;"Powiat szamotulski";2,5;
3025000;"Powiat średzki";6,3;
3026000;"Powiat śremski";1,9;
3027000;"Powiat turecki";3,7;
3028000;"Powiat wągrowiecki";4,5;
3029000;"Powiat wolsztyński";1,6;
3030000;"Powiat wrzesiński";3,1;
3031000;"Powiat złotowski";5,7;
3061000;"Powiat m.Kalisz";2,5;
3062000;"Powiat m.Konin";5,5;
3063000;"Powiat m.Leszno";3,2;
3064000;"Powiat m.Poznań";1,1;
3201000;"Powiat białogardzki";17,2;
3202000;"Powiat choszczeński";16,0;
3203000;"Powiat drawski";12,3;
3204000;"Powiat goleniowski";5,2;
3205000;"Powiat gryficki";8,0;
3206000;"Powiat gryfiński";7,9;
3207000;"Powiat kamieński";14,1;
3208000;"Powiat kołobrzeski";1,2;
3209000;"Powiat koszaliński";11,4;
3210000;"Powiat myśliborski";6,7;
3211000;"Powiat policki";3,6;
3212000;"Powiat pyrzycki";10,4;
3213000;"Powiat sławieński";13,3;
3214000;"Powiat stargardzki";7,5;
3215000;"Powiat szczecinecki";14,6;
3216000;"Powiat świdwiński";12,2;
3217000;"Powiat wałecki";8,4;
3218000;"Powiat łobeski";19,1;
3261000;"Powiat m.Koszalin";4,3;
3262000;"Powiat m.Szczecin";2,4;
3263000;"Powiat m.Świnoujście";3,5;
